[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_sqlite.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_pdo_sqlite.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_pdo_sqlite.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sqlite3.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_sqlite3.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_sqlite3.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_imagick.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_imagick.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_intl.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_intl.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_intl.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:24 UTC] PHP Fatal error:  Uncaught Error: [] operator not supported for strings in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\functions.php:631
Stack trace:
#0 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\class-wp-hook.php(324): piquant_mikado_container_style('')
#1 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\plugin.php(205): WP_Hook->apply_filters('', Array)
#2 C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\functions.php(595): apply_filters('piquant_mikado_...', '')
#3 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\class-wp-hook.php(324): piquant_mikado_page_custom_style('')
#4 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\plugin.php(517): WP_Hook->do_action(Array)
#6 C:\Users\jabbe\Local Sites\food\app\public\wp-includes\general-template.php(3065): do_action('wp_head')
#7 C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\ in C:\Users\jabbe\Local Sites\food\app\public\wp-content\themes\piquant\functions.php on line 631
[10-Sep-2024 15:57:26 UTC] PHP Fatal error:  Cannot redeclare wp_typing_game_enqueue_scripts() (previously declared in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\wp-typing-game.php:16) in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\wp-typing-game.php on line 139
[10-Sep-2024 15:57:31 UTC] PHP Fatal error:  Cannot redeclare wp_typing_game_enqueue_scripts() (previously declared in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\wp-typing-game.php:16) in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\wp-typing-game.php on line 139
[10-Sep-2024 16:00:12 UTC] PHP Fatal error:  Cannot redeclare wp_typing_game_create_table() (previously declared in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\wp-typing-game.php:72) in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\wp-typing-game-1\includes\game-functions.php on line 24
[10-Sep-2024 16:00:42 UTC] PHP Fatal error:  Cannot redeclare wp_typing_game_create_table() (previously declared in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\assets-1\wp-typing-game.php:33) in C:\Users\jabbe\Local Sites\food\app\public\wp-content\plugins\assets-1\includes\game-functions.php on line 24
